,Name,Comments,Likes,Replies,Published
1669,100 subs challenge with no video,The music choice on this is so beautiful. The loss of Chadwick Boseman is really felt and acknowledged. I'm glad they're continuing this story with that in mind. Lots of tears shed from this trailer alone.,24,0 reply,1 day ago
1670,Priyo Khan,Getting goosebumps Everytime I'm watching this trailer! This is beyond beautiful!,8,0 reply,1 day ago
1671,Jesse Collins,I feel like everyone going to be paying their respect to Boseman when they go to the movie. It’s our way of saying goodbye to a man who really brought something unique to our hearts. He was passionate to the end and although he’s gone. We still won’t forget him or what he did,48,1 reply,1 day ago
1672,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1673,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1674,Aasim Jasim,Now let us imagine a teaser of iron man without the character Tony stark,0,0 reply,1 minute ago
1675,Akshay Sharma,Why TF I am crying ,0,0 reply,4 minutes ago
1676,Skai Reyez,When I tell you I'll be crying my eyes out the entire movie especially knowing he passed away in real life. This hurts a lot. It must have been so emotional going back on set without him.,0,0 reply,41 seconds ago
1677,Akshay Sharma,Tchala legacy ,0,0 reply,2 minutes ago
1678,Kaiju Kidd,"Don't know if this counts as a hot take. I hope that instead of Shuri, it is Nakia that dons the Black Panther suit. I know Riri Williams is in the movie but from what I feel that Shuri would be a better fit for a new Iron Heart given what little we know about her. I know at this point its almost assured that Shuri is the new black panther, but I choose to hold out hope for Nakia. Thematically it fits especially if this movie is about Wakanda changing as it marches towards the future",0,1 reply,1 day ago
1679,Tony Imperial,0:17 I bet you that’s storm,0,0 reply,4 hours ago (edited)
1680,mayur mc 2008,1:55 i am dead right now,0,0 reply,8 hours ago
1681,Mint-Hunter Comics,Chills!,0,0 reply,1 day ago
1682,HunterTheHunter,Is black panther in this movie but just as a different actor?,1,0 reply,9 hours ago
1683,Hot Locals In Your Area,"I haven't watched a Marvel trailer this many times since the Infinity War one. Can't wait for November to get these two years worth of tears out in honor of Mr. Boseman. Rest in Power, King ",61,0 reply,2 days ago
1684,Terumi Saito,Let's cry horrors without seeing Chad in this movie,0,0 reply,1 day ago
1685,Luciano Rodriguez,epic,1,0 reply,6 hours ago
1686,Саша Зима,epic,1,0 reply,8 hours ago
1687,D.C. Jeanes,"Pretty good video, but the over the top praise it’s getting is ridiculous.",1,0 reply,5 minutes ago
1688,Arrow,Namor. Destroy Wakanda.,1,0 reply,7 hours ago
1689,Israel Nathan,1:28 Goosebumps all over my body,134,1 reply,4 days ago
1690,Cecil Floresca,Was that Namor?,0,0 reply,9 hours ago
1691,Noob Master 69,"It was a great trailer but they should have used, Bob Marley's original No Woman No Cry instead.",1,0 reply,8 hours ago (edited)
1692,Thakur Angad Pratihar,Glory to lord Hanuman ,1,0 reply,1 day ago
1693,nostalgicangel01,* Incredible trailer and I have high expectations for this film. I really hope it turns out great!,0,0 reply,8 minutes ago
1694,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1695,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1696,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1697,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1698,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1699,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1700,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1701,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1702,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1703,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1704,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1705,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,0 reply,1 day ago
1706,Natasha D,I cannot wait for this!  This trailer is everything!,11,0 reply,1 day ago
1707,Devils Advocate,Sometimes it seems sequels don't do as well if there are serious cast changes. The loss of Chadwick Boseman hit hard and deep but I can't help but have high hopes for this. I'm really hoping this film does him justice. I feel like he would be proud of this film ️,12,1 reply,1 day ago
1708,Tuntun Google Music,"""Yesterday is history"" 
""Tomorrow is Mystery"" 
""Today is gift"" Gift""
""That's why it is called Present""",2,0 reply,1 day ago
1709,Ryan Loetscher,"If the movie is half as thought, creative and well done as the trailer I'll be happy. I haven't seen this much message layering in a trailer in a long time.",1,0 reply,1 day ago
1710,Charles Fox,Mad respect Chad you're one in a million,2,0 reply,1 day ago
1711,Aditya Palwankar,The black panther scene gave me chills! Long Live the King,7,0 reply,1 day ago
1712,MUSCLE MAN,This trailer made me want to cry! Rip Chadwick boseman you were the best and nobody can ever replace you️ you will be forever king ️,1,0 reply,1 day ago
1713,Dead Sacred,"I can't stop crying. That trailer was amazing! If I'm crying from only watching the trailer, I know for a fact I'll be crying while watching the film",5,0 reply,1 day ago
1714,Kamryn Quinn,I got chills. I'm very excited for this ,0,0 reply,1 day ago
1715,Joshua o'malley,"Im getting teary eyed just see the respect they are giving to Chadwick
wakanda forever R.I.P Boseman",0,0 reply,1 day ago
1716,Madison Auble,Chills!  Can't wait to see this.  Wakanda Forever!  RIP Chadwick Boseman <3,1,0 reply,1 day ago
1717,Navaz Merchant,Goosebumps proud of my wife Shuri for fighting for our nation Wakanda,0,0 reply,1 day ago
1718,ToonBoyy7,"I've always never been able to cry at any sort of film or trailer (couldn't even cry for iron mans death) but this had me going
Rip to chadwick",1,0 reply,1 day ago
1719,Paula Valério,I'm feeling very emotional right now   WAKANDA FOREVER  a tribute to a wonderful and talented human being that was Chadwick Boseman. How we miss him ,0,0 reply,1 day ago (edited)
1720,Hot Girl,One Of The best thing about dude that he never takes credit for himself when he achieve something he always respect us the audience and his team and he is always polite in all of his videos .......,1,0 reply,1 day ago
1721,Devion Industries,️ Wakanda Forever . The soundtrack and footage for this movie seems insane!!,0,0 reply,1 day ago
1722,luke ryan,This looks so much better than it has any right to. I was so skeptical especially given phase 4 has sucked but this honestly could be great.,0,0 reply,1 day ago
1723,Sir Vincerd,"""Everything going to be all right"" meaning Marvels still got fans ready for this amazing movie even without Chadwick Boseman. Can't wait to see it!",0,0 reply,1 day ago (edited)
1724,Brothers of Baal,"Didn't enjoy the first one, but this looked WOW... just pure emotion, felt proper choked watching this...it just felt so raw, knowing no more Boseman...fantastic trailer and hopefully the film is even better...",0,0 reply,1 day ago
1725,jcentricity,Score perfection! Especially the escalation of the trumpets and violin!,1,0 reply,1 day ago (edited)
1726,Subbing to everyone who Subs to me,Ah! The visuals are next level. Can't wait to see this masterpiece in the cinemas. Also Chadwick will be remembered rip.,2,0 reply,1 day ago
1727,drizzydre9135,No other movie trailers give me chills like BlackPanther,0,0 reply,1 day ago
1728,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,0,1 reply,1 day ago
1729,Arsh Nagpal,Can't express these emotions in words. Just patiently waiting for this hearttoucing ride. RIP CHADWICK BOSEMAN SIR.,0,0 reply,1 day ago
1730,IGetNoMaidens,A masterpiece of a trailer,1,0 reply,1 day ago
1731,Sachin Professional Business ac,"Want to know the Legend's name who created this masterpiece Background score.. what theam song ,whataaa  Voice over... Just goosebumps",0,0 reply,1 day ago (edited)
1732,Leone ideal,We're here and we already forever love this ,0,0 reply,1 day ago
1733,The Vividen,This looks fantastic. It'll be a great note to end Phase 4 on.,0,0 reply,1 day ago (edited)
1734,💫Queen Solstice Speaks🧿,Absolutely stunning!!! I can’t wait!!! 🥹,0,0 reply,1 day ago
1735,Fofoca em Série TV,caramba q foda ️,0,0 reply,1 day ago
1736,JazzSoulMetal Productions,"Ryan Coogler is outdoing himself with this one! It’s gonna be another classic!!!!!
And this trailer’s music! Everyone show love for the music!!!",1,0 reply,1 day ago
1737,Mahtab Haque,Wow Rest in power Black Panther ,1,0 reply,1 day ago
1738,Apokaliptrix,"And this is just a teaser...
Can't wait to see the whole thing
I know Chadwick's gonna be watching it.",2,0 reply,1 day ago
1739,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,2,0 reply,1 day ago
1740,Voices In head,Between all the recent misses in this phase of the mcu. This movie is giving me the most hope,0,0 reply,1 day ago
1741,Young phone,"I really hope someone good will be the next black panther 
His name is legendary and deserves the most respect towards it Please marvel get someone who can do it right",0,0 reply,1 day ago
1742,Kalvin Gray,Still getting goosebumps after watching this about 30 times,4,0 reply,1 day ago
1743,DubUTF,I can’t wait! ️️,0,0 reply,1 day ago (edited)
1744,Remz Marac,"Tems outdid herself in this soundtrack!!! I have watched this trailer more than twenty times, just to hear that voice!!! Amazing",0,0 reply,1 day ago
1745,Starfish1,"Good grief, that looks amazing!",0,0 reply,1 day ago
1746,StarlightKY,Never in my days has a trailer made me cry until now,0,0 reply,1 day ago
1747,Sephnym セフ,I'm so excited to see how the MCU portray their Namor the Sub-Mariner.,0,0 reply,1 day ago
1748,cooper cooper,this is the first time ive gotten excited for a marvel movie in a while,1,0 reply,1 day ago
1749,MTG,"This looks too good. We may have lost our king, but we have a new prince.",0,0 reply,1 day ago
1750,lolawhiterabbit,"Not gonna lie, I cried, I lost it. Beautiful trailer. RIP Chadwick Boseman, we miss you",4,0 reply,1 day ago
1751,Autumn,"i seriously had so many child during this, the musics transition was just phenomenal i cannot wait for this movie to be out",0,0 reply,1 day ago
1752,Rebecca,this genuinely looks beyond insane,0,0 reply,1 day ago
1753,AFRO Human,"“In this future, you can’t forget your past”

 Wakanda forever from Madagascar <3",0,0 reply,1 day ago
1754,Diego,This trailer is beautiful. I wish we lived in a world where all of humanity would unite to preserve the culture and traditions of all of  unique ethnic groups.,4,0 reply,1 day ago
1755,Her Colorful Mind,Chills! Looks like I will be balancing tears with this one!,0,0 reply,1 day ago
1756,Williams,Movie Looks Epic! Super Stoked That Kendrick Is Involved With The Soundtrack Again!,0,0 reply,1 day ago
1757,HWC Transgender ministries,"OMG!
It looks SO good!
And RIP To Chadwick!
You were the king!",0,0 reply,1 day ago
1758,iloverette,Can trailers be nominated for Oscars? Cause sheesh  I’m still emotional after watching it so many times.,1,0 reply,1 day ago
1759,Inkxev,"Being hispanic and of central American descent, seeing Tenoch as Namor is HYPE AF! Namor is one of the only heroes that they could actually cast hispanic without it feeling forced and makes sense. I am SO excited to see representation especially through one of Marvel's biggest characters!",47,1 reply,1 day ago
1760,Paolo Gismondi,One of the best trailers ever.,1,0 reply,1 day ago
1761,Cyberclaw86,"Finally something to contend with the success of Morbius.  Coming soon...
...It's Morbin Time!",2,0 reply,1 day ago
1762,Tamia's Camera Roll,Angela’s Basset’s line and the camera panning to the mural of  Chadwick is making me sob ,1,0 reply,1 day ago
1763,Rafael Bernal,"I love how this movie is more focused about the wakandian legacy than black panther mantle itself.
I also LOVE the new Namor backstory. Is so great to watch South American culture with so much power",4,0 reply,1 day ago
1764,Watchman,"This was such a perfect teaser tailer, it doesn’t reveal a whole lot yet it shows us a good amount of what can happen in the movie and the cinematic shots are just amazing I’m hyped",3,0 reply,1 day ago
